ad_id,platform,brand,ad_format,creative_theme,cta_type,audience_segment,language,budget_daily_inr,bid_strategy,ad_copy_length_words,has_price_mention,has_offer_mention,has_expert_mention,has_urgency_words,has_emoji_in_copy,video_duration_seconds,days_active,month_launched,is_own_brand,impressions,clicks,installs,spent_inr,ctr,cpi_inr,d0_removal_rate,d1_retention_rate,d7_retention_rate,purchase_within_7d_rate,onboarding_completion_rate,avg_session_duration_seconds,install_quality_score
AD0071,Google_Search,Mylo_PregaPlus,Video_30s,Fear_Appeal,Swipe_Up,TTC,Bengali,5589.94,Lowest_Cost,17,0,0,0,0,0,30,16,Jun,1,19502,579,113,4233.37,0.0297,37.46,0.18,0.4127,0.2934,0.1,0.7902,215.65,77.0
AD0072,Meta_Reels,Mylo_DiapersApp,Static_Image,Problem_Solution,Install_Now,Pregnant_Tri3,Hindi,4223.36,Target_ROAS,16,0,0,0,0,0,0,18,Aug,1,456045,5291,1209,26908.58,0.0116,22.26,0.1635,0.4007,0.2238,0.052,0.7,301.36,73.01
AD0073,Google_Display,Mylo_DiapersApp,Collection_Ad,Before_After,Get_Offer,Broad_Women_25_34,Hinglish,3862.35,Cost_Cap,26,0,0,0,0,0,0,67,Apr,1,504838,5824,976,11581.72,0.0115,11.87,0.2572,0.2167,0.0716,0.0232,0.6841,141.82,55.71
AD0074,Meta_Feed,Mylo_App,Lead_Form,Ingredient_Science,Get_Offer,TTC,Hindi,774.0,Manual_CPC,10,0,0,0,0,1,0,55,Mar,1,23642,598,121,3834.96,0.0253,31.69,0.2411,0.26,0.1503,0.0909,0.5279,283.7,53.17
AD0075,Google_UAC,PharmEasy_Baby,Video_30s,Problem_Solution,Learn_More,New_Mom_3_6m,English,1603.4,Max_Value,11,0,0,0,0,0,30,5,Apr,0,624095,6297,1389,27780.0,0.0101,20.0,0.1123,0.4047,0.2183,0.0521,0.7848,244.0,75.89
AD0076,Google_Display,BabyChakra,Carousel,Fear_Appeal,Swipe_Up,New_Mom_6_12m,Hinglish,2179.77,Target_ROAS,26,0,0,0,0,0,0,57,Sep,0,414747,5986,1096,30202.08,0.0144,27.56,0.3107,0.2874,0.1743,0.0277,0.6458,149.4,60.06
AD0077,Meta_Reels,Mylo_DiapersApp,Video_15s,Ingredient_Science,Watch_More,Retargeting_App_Inactive,Tamil,6785.78,Target_ROAS,12,0,0,0,0,1,15,45,Nov,1,1661,33,7,103.32,0.0199,14.76,0.1291,0.3831,0.2837,0.0878,0.7271,264.93,76.16
AD0078,Google_Search,HealthKart_Women,Collection_Ad,Discount_Offer,Learn_More,New_Mom_0_3m,Hindi,3450.57,Max_Conversions,17,1,1,0,1,1,0,66,Aug,0,532356,19057,3860,104220.68,0.0358,27.0,0.18,0.3158,0.1297,0.0729,0.7,151.44,66.32
AD0079,Google_UAC,Mylo_PregaPlus,Collection_Ad,Problem_Solution,Shop_Now,New_Mom_6_12m,Hindi,6264.27,Manual_CPC,9,0,0,0,0,0,0,9,Jan,1,526676,6944,1135,28920.61,0.0132,25.48,0.197,0.2931,0.0811,0.0352,0.6358,210.32,62.46
AD0080,Google_UAC,Healofy,Static_Image,Emotional_Journey,Learn_More,Lookalike_Purchasers,English,5757.5,Max_Conversions,13,0,0,0,0,0,0,22,Apr,0,104532,1032,201,3306.97,0.0099,16.45,0.2885,0.2475,0.1276,0.0299,0.6434,203.45,58.77
AD0081,Google_Display,Mylo_Ovaluna,Video_30s,Problem_Solution,Install_Now,Broad_Women_18_24,Telugu,899.86,Max_Value,28,0,0,0,0,1,30,70,Jan,1,77852,481,80,1200.0,0.0062,15.0,0.4166,0.1608,0.03,0.025,0.6398,140.68,36.24
AD0082,Meta_Feed,Mylo_Ovaluna,Video_30s,Comparison_Ad,Shop_Now,New_Mom_3_6m,Bengali,2614.94,Max_Conversions,27,0,0,0,0,1,30,37,Aug,1,42358,608,114,2790.87,0.0144,24.48,0.18,0.4027,0.2356,0.0858,0.7292,268.7,73.93
AD0083,Meta_Stories,PharmEasy_Baby,Video_60s,Discount_Offer,Shop_Now,New_Mom_0_3m,English,4326.99,Cost_Cap,20,1,1,0,0,1,60,13,Dec,0,539886,15428,2885,57700.0,0.0286,20.0,0.18,0.38,0.16,0.0358,0.7,168.08,69.56
AD0084,Meta_Feed,Mylo_App,Static_Image,Discount_Offer,Swipe_Up,New_Mom_0_3m,Marathi,3277.48,Target_CPA,28,1,1,0,1,0,0,28,Aug,1,45185,1331,248,5376.65,0.0295,21.68,0.18,0.412,0.2024,0.0707,0.7413,178.88,73.27
AD0085,YouTube_Shorts,Healofy,Reels_Remix,Testimonial_Mom,Install_Now,Pregnant_Tri3,English,3163.8,Cost_Cap,22,0,0,0,0,1,33,71,Sep,0,123396,1648,340,10602.13,0.0134,31.18,0.1921,0.3102,0.2902,0.0831,0.8544,289.73,72.88
AD0086,Google_UAC,HealthKart_Women,Reels_Remix,Doctor_Expert,Install_Now,New_Mom_3_6m,Telugu,4941.41,Lowest_Cost,8,0,0,1,0,1,18,56,Feb,0,29865,173,39,1510.83,0.0058,38.74,0.08,0.512,0.36,0.1117,0.9025,340.35,93.95
AD0087,Meta_Stories,MamEarth,Carousel,Discount_Offer,Learn_More,Broad_Women_18_24,Hinglish,544.13,Max_Conversions,14,1,1,0,1,1,0,3,Dec,0,139781,2680,411,3845.54,0.0192,9.36,0.5,0.12,0.03,0.0072,0.4274,74.08,20.22
AD0088,Google_UAC,Mylo_App,Playable_Ad,UGC_Repost,Book_Free_Consult,New_Mom_0_3m,Hindi,1127.71,Cost_Cap,12,0,0,0,0,1,39,20,Oct,1,549990,16998,3421,108605.82,0.0309,31.75,0.18,0.387,0.2112,0.0858,0.7281,224.8,72.62
AD0089,Google_UAC,MamEarth,Video_30s,Product_Demo,Shop_Now,Broad_Women_25_34,Hindi,2177.77,Target_CPA,13,0,0,0,0,1,30,66,Sep,0,53796,522,93,1752.06,0.0097,18.84,0.2003,0.2082,0.169,0.0367,0.7241,228.8,62.5
AD0090,YouTube_Shorts,MamEarth,Stories_Poll,Testimonial_Mom,Watch_More,Pregnant_Tri2,Kannada,4932.74,Max_Value,27,0,0,0,0,1,0,20,Apr,0,39447,639,145,4131.17,0.0162,28.49,0.1367,0.38,0.3285,0.0875,0.8935,268.02,79.23
AD0091,Google_UAC,HealthKart_Women,Reels_Remix,UGC_Repost,Install_Now,Pregnant_Tri1,Bengali,5463.08,Target_CPA,16,0,0,0,0,1,29,44,Oct,0,44171,310,59,1438.78,0.007,24.39,0.2772,0.3283,0.1515,0.0497,0.6587,138.23,61.46
