platform,brand,ad_format,creative_theme,cta_type,audience_segment,language,has_offer,has_expert,d1,iqs,source_dataset,d7,d30,lift,platform_e,brand_e,ad_format_e,creative_theme_e,cta_type_e,audience_segment_e,language_e,source_dataset_e
Google_Display,Mylo_DiapersApp,Stories_Poll,Problem_Solution,Install_Now,New_Mom_0_3m,Hindi,1,1,0.4465,80.95,07,0.18393247456833398,0.1112923349362654,0.48940982419465223,2,28,13,23,10,14,3,0
Google_Search,Mylo_LactoMama,Carousel,Ingredient_Science,Watch_More,New_Mom_0_3m,Telugu,0,1,0.5369,87.92,07,0.17967192676546911,0.1123095446954803,0.5954468737875208,3,29,1,17,19,14,9,0
Meta_Reels,Mylo_Ovaluna,Reels_Remix,Discount_Offer,Watch_More,Broad_Women_25_34,Hinglish,1,0,0.1829,47.6,07,0.08119916876193056,0.0401951693554796,0.469326150165479,9,30,8,6,19,1,4,0
Google_Search,Mylo_DiapersApp,Video_30s,Discount_Offer,Get_Offer,New_Mom_6_12m,Kannada,1,1,0.1805,41.96,07,0.13400667190120552,0.07336854022609693,0.4056014325233436,3,28,19,6,7,17,5,0
Meta_Feed,Healofy,Static_Image,Discount_Offer,Get_Offer,New_Mom_3_6m,Bengali,1,1,0.2132,40.72,07,0.16876054134285357,0.10217310270518565,0.6202654816333528,8,9,12,6,7,16,0,0
Meta_Stories,Mylo_DiapersApp,Collection_Ad,Discount_Offer,Sign_Up,Toddler_Mom_1_2y,Marathi,1,0,0.2189,50.42,07,0.10900586274137364,0.058509041719081785,0.3577589717633193,10,28,3,6,16,32,7,0
Google_Display,Mylo_DiapersApp,Collection_Ad,Doctor_Expert,Watch_More,Pregnant_Tri3,Hinglish,0,1,0.4659,84.93,07,0.22900752827955798,0.14216217830243888,0.48431781501536275,2,28,3,7,19,22,4,0
Google_UAC,MamEarth,Video_15s,Doctor_Expert,Swipe_Up,Toddler_Mom_1_2y,Telugu,1,1,0.3998,81.98,07,0.151022219958922,0.10040625601722504,0.5535534554727729,4,19,18,7,17,32,9,0
Google_Display,Healofy,Static_Image,Doctor_Expert,Watch_More,New_Mom_6_12m,English,1,1,0.437,86.66,07,0.16724573111922597,0.10024506599906094,0.44610838500991407,2,9,12,7,19,17,1,0
Google_UAC,PharmEasy_Baby,Static_Image,Doctor_Expert,Shop_Now,Pregnant_Tri1,Bengali,1,1,0.3568,80.7,07,0.17789808518054165,0.11446887273936687,0.46224586782931826,4,36,12,7,14,20,0,0
Meta_Feed,Mylo_LactoMama,Video_30s,Problem_Solution,Shop_Now,Retargeting_App_Inactive,Hinglish,1,1,0.3963,79.18,07,0.155866011254157,0.09657104002599369,0.5389068157793362,8,29,19,23,14,26,4,0
Meta_Reels,Mylo_Ovaluna,Video_60s,Comparison_Ad,Learn_More,Retargeting_App_Inactive,English,1,0,0.3805,78.39,07,0.11621406102307597,0.059018404326203006,0.46334985656911926,9,30,20,4,12,26,1,0
YouTube_Shorts,HealthKart_Women,Video_60s,Emotional_Journey,Get_Offer,Retargeting_App_Inactive,Hindi,1,1,0.3814,76.66,07,0.14766616900529791,0.09639609340344314,0.40131808450179496,13,10,20,10,7,26,3,0
Google_UAC,PharmEasy_Baby,Video_30s,Seasonal_Festival,Swipe_Up,Retargeting_App_Inactive,Marathi,0,1,0.3806,76.07,07,0.224950827104107,0.13014452951222338,0.6398061791478915,4,36,19,27,17,26,7,0
Google_Display,Mylo_PregaPlus,Video_30s,Seasonal_Festival,Swipe_Up,New_Mom_0_3m,Malayalam,0,1,0.3216,67.42,07,0.19950213392499547,0.12605654883985132,0.4939348906955266,2,31,19,27,17,14,6,0
Google_UAC,BabyChakra,Video_15s,Seasonal_Festival,Book_Free_Consult,Lookalike_Purchasers,Marathi,0,0,0.3086,63.44,07,0.19153781971221318,0.09923756401129342,0.5226909139067832,4,3,18,27,1,10,7,0
Google_UAC,Mylo_App,Playable_Ad,Seasonal_Festival,Shop_Now,Broad_Women_25_34,Hindi,1,0,0.299,66.39,07,0.09565941673395827,0.0453379128804922,0.4137612084599436,4,27,7,27,14,1,3,0
Google_Search,HealthKart_Women,Video_30s,Seasonal_Festival,Learn_More,Broad_Women_18_24,Tamil,0,0,0.2113,48.92,07,0.14138906682086003,0.0612460637431731,0.5298664627053351,3,10,19,27,12,0,8,0
Meta_Feed,Mylo_DiapersApp,Playable_Ad,Myth_Busting,Shop_Now,New_Mom_3_6m,Kannada,1,1,0.4232,77.68,07,0.1429361581134473,0.08196778507705753,0.40051859889151875,8,28,7,21,14,16,5,0
Google_UAC,Mylo_Ovaluna,Reels_Remix,Discount_Offer,Sign_Up,New_Mom_0_3m,Bengali,1,0,0.4238,76.49,07,0.09797904719228319,0.04495543187450239,0.37711181630300206,4,30,8,6,16,14,0,0
Meta_Reels,Mylo_App,Stories_Poll,Product_Demo,Watch_More,TTC,Bengali,0,1,0.4437,75.71,07,0.1851483480704411,0.10929439999990986,0.5873551041795858,9,27,13,25,19,29,0,0
Google_Display,Mylo_App,Static_Image,Discount_Offer,Book_Free_Consult,Pregnant_Tri3,Bengali,1,1,0.4496,78.55,07,0.15177528764057707,0.09682295936206183,0.5784445587870373,2,27,12,6,1,22,0,0
Meta_Reels,MamEarth,Static_Image,Celebrity_Endorsement,Sign_Up,Lookalike_Purchasers,Hindi,0,1,0.2652,56.75,07,0.18918699758451402,0.13110711594914334,0.5381070160205802,9,19,12,1,16,10,3,0
Google_Search,MamEarth,Stories_Poll,Celebrity_Endorsement,Learn_More,Pregnant_Tri3,Telugu,0,0,0.2212,57.14,07,0.16143830145548546,0.08542483750581642,0.43502331348546086,3,19,13,1,12,22,9,0
Google_UAC,HealthKart_Women,Video_30s,Celebrity_Endorsement,Install_Now,Pregnant_Tri3,Marathi,1,1,0.2185,57.74,07,0.15416709517658078,0.09179894123096048,0.4247776708608847,4,10,19,1,10,22,7,0
YouTube_Shorts,Mylo_App,Static_Image,Celebrity_Endorsement,Watch_More,New_Mom_0_3m,English,1,0,0.2241,56.71,07,0.11757144738078917,0.06208229288028302,0.5532162947966169,13,27,12,1,19,14,1,0
YouTube_Shorts,Healofy,Playable_Ad,Problem_Solution,Install_Now,Retargeting_App_Inactive,Malayalam,0,1,0.2976,63.44,07,0.1978677789656309,0.1216954156743309,0.5093247951788294,13,9,7,23,10,26,6,0
Meta_Feed,Mylo_App,Playable_Ad,Testimonial_Mom,Swipe_Up,New_Mom_3_6m,Telugu,0,0,0.229,60.07,07,0.10804334803969246,0.057971492406620174,0.591038324807525,8,27,7,29,17,16,9,0
Meta_Feed,Mylo_DiapersApp,Playable_Ad,Doctor_Expert,Watch_More,Toddler_Mom_1_2y,Kannada,0,1,0.2827,65.9,07,0.194914302568415,0.12749740947438842,0.3357891593379725,8,28,7,7,19,32,5,0
Meta_Stories,Mylo_LactoMama,Playable_Ad,Discount_Offer,Get_Offer,Pregnant_Tri1,Marathi,0,1,0.2881,62.34,07,0.20621231309332905,0.13028919624262061,0.5117652690481274,10,29,7,6,7,20,7,0
Meta_Stories,Mylo_PregaPlus,Carousel,Fear_Appeal,Shop_Now,Pregnant_Tri2,English,0,0,0.1742,50.14,07,0.1438786592362539,0.06156896075910752,0.4710665349868027,10,31,1,12,14,21,1,0
YouTube_Shorts,PharmEasy_Baby,Video_60s,Before_After,Shop_Now,TTC,Marathi,1,0,0.1744,50.87,07,0.12260114040048627,0.06627062602214799,0.48622533707552323,13,36,20,0,14,29,7,0
YouTube_Shorts,PharmEasy_Baby,Video_30s,UGC_Repost,Swipe_Up,Pregnant_Tri3,Bengali,0,1,0.2087,53.16,07,0.1939795989716304,0.12214049743432163,0.5380367643851692,13,36,19,32,17,22,0,0
Meta_Stories,Mylo_Ovaluna,Collection_Ad,Emotional_Journey,Watch_More,Lookalike_Purchasers,English,0,0,0.1873,50.89,07,0.1367568968208476,0.06864627755989415,0.5473908194081166,10,30,3,10,19,10,1,0
Google_Display,Mylo_App,Static_Image,Doctor_Expert,Book_Free_Consult,Retargeting_Cart_Abandon,Telugu,0,1,0.1836,62.52,07,0.2324174574321305,0.13689975672633967,0.41678951489718435,2,27,12,7,1,27,9,0
Meta_Reels,Mylo_PregaPlus,Playable_Ad,Product_Demo,Learn_More,New_Mom_0_3m,Marathi,1,1,0.1477,51.65,07,0.16980018625614043,0.0955949948639138,0.5574845408143869,9,31,7,25,12,14,7,0
Meta_Stories,BabyChakra,Carousel,Product_Demo,Swipe_Up,Retargeting_Cart_Abandon,Bengali,1,0,0.1561,53.79,07,0.1128771978325173,0.06193060032076288,0.5317251604594306,10,3,1,25,17,27,0,0
Google_Search,BabyChakra,Carousel,UGC_Repost,Learn_More,Pregnant_Tri3,Bengali,1,1,0.2304,51.58,07,0.19137483813502426,0.11150259566997607,0.5227447146665705,3,3,1,32,12,22,0,0
YouTube_Shorts,Mylo_Ovaluna,Video_30s,Celebrity_Endorsement,Swipe_Up,Toddler_Mom_1_2y,Marathi,1,0,0.1968,60.18,07,0.0944376573167891,0.05324093738106069,0.5589102373318773,13,30,19,1,17,32,7,0
YouTube_Shorts,HealthKart_Women,Video_60s,UGC_Repost,Swipe_Up,Broad_Women_25_34,Malayalam,0,1,0.3089,61.89,07,0.19632884921894325,0.11202266154374,0.38788602642180986,13,10,20,32,17,1,6,0
YouTube_Shorts,Healofy,Video_30s,Fear_Appeal,Shop_Now,Retargeting_App_Inactive,Kannada,1,1,0.2002,57.51,07,0.1588558189126612,0.09384121133554478,0.5048276678294802,13,9,19,12,14,26,5,0
YouTube_Shorts,PharmEasy_Baby,Video_15s,Fear_Appeal,Watch_More,Broad_Women_18_24,Kannada,1,1,0.2304,51.82,07,0.17339280959426615,0.09540058591593119,0.5502694429043027,13,36,18,12,19,0,5,0
Google_Search,HealthKart_Women,Lead_Form,Seasonal_Festival,Sign_Up,TTC,Bengali,1,1,0.1082,37.53,07,0.18154408956200754,0.09290118780291584,0.6168297418336988,3,10,6,27,16,29,0,0
Google_Search,HealthKart_Women,Lead_Form,Comparison_Ad,Sign_Up,TTC,Marathi,1,0,0.173,32.42,07,0.10260383284716687,0.05288797084621324,0.5511290532723243,3,10,6,4,16,29,7,0
Meta_Feed,BabyChakra,Lead_Form,Product_Demo,Sign_Up,Pregnant_Tri1,Kannada,1,0,0.1328,27.45,07,0.13490642437463224,0.07082251867552676,0.5483705027106773,8,3,6,25,16,20,5,0
Google_UAC,HealthKart_Women,Lead_Form,Testimonial_Mom,Sign_Up,Lookalike_Purchasers,Marathi,0,1,0.0868,31.89,07,0.2101430404084587,0.12161193772861373,0.5722724791172348,4,10,6,29,16,10,7,0
Google_UAC,MamEarth,Static_Image,Fear_Appeal,Watch_More,Retargeting_Cart_Abandon,Telugu,0,0,0.3773,80.37,07,0.11646029036606186,0.04793056189390325,0.5608527976344885,4,19,12,12,19,27,9,0
Meta_Reels,Mylo_LactoMama,Video_30s,Product_Demo,Sign_Up,Retargeting_Cart_Abandon,Malayalam,1,0,0.416,82.82,07,0.13607537709398357,0.06054333969321698,0.5708576645333177,9,29,19,25,16,27,6,0
Meta_Stories,PharmEasy_Baby,Video_60s,Celebrity_Endorsement,Learn_More,Retargeting_Cart_Abandon,Bengali,1,0,0.4805,85.92,07,0.11425532185738148,0.0644519562048095,0.4663786942554111,10,36,20,1,12,27,0,0
Meta_Feed,Mylo_Ovaluna,Collection_Ad,Emotional_Journey,Install_Now,Retargeting_Cart_Abandon,Hinglish,0,0,0.4361,82.14,07,0.19949363766330536,0.09983086151099366,0.4517991508045353,8,30,3,10,10,27,4,0
Meta_Feed,Mylo_LactoMama,Video_15s,Before_After,Watch_More,Broad_Women_18_24,Hindi,1,1,0.1989,31.6,07,0.16774754129870412,0.08732728610267491,0.5746199754494713,8,29,18,0,19,0,3,0
Meta_Stories,Mylo_PregaPlus,Video_15s,Celebrity_Endorsement,Sign_Up,Broad_Women_18_24,Tamil,1,0,0.1775,28.9,07,0.11856292024344633,0.0675389366408236,0.3801929345258178,10,31,18,1,16,0,8,0
Meta_Stories,Mylo_Ovaluna,Lead_Form,Before_After,Sign_Up,Broad_Women_18_24,Malayalam,0,0,0.14,20.83,07,0.12762959232451665,0.0724061137375286,0.4308725516660417,10,30,6,0,16,0,6,0
Google_Display,Mylo_Ovaluna,Stories_Poll,Fear_Appeal,Install_Now,Broad_Women_18_24,Hinglish,0,0,0.1598,34.42,07,0.18127893521167024,0.0851096439088828,0.5243445735943101,2,30,13,12,10,0,4,0
YouTube_Shorts,Healofy,Video_15s,Product_Demo,Shop_Now,New_Mom_3_6m,Hinglish,0,0,0.38,73.57,07,0.19590114938921102,0.08905053211426031,0.5476912442598628,13,9,18,25,14,16,4,0
Meta_Feed,Healofy,Video_30s,Comparison_Ad,Learn_More,New_Mom_0_3m,English,0,0,0.4026,73.86,07,0.1442970752289306,0.08059713853587926,0.4807236627115492,8,9,19,4,12,14,1,0
Meta_Stories,BabyChakra,Video_60s,Problem_Solution,Shop_Now,Toddler_Mom_1_2y,Hinglish,0,0,0.2067,59.32,07,0.15285572136462316,0.0711771960081824,0.5258014205327034,10,3,20,23,14,32,4,0
Meta_Stories,Mylo_Ovaluna,Playable_Ad,UGC_Repost,Watch_More,Broad_Women_25_34,Telugu,0,0,0.2056,58.54,07,0.1348818122775886,0.05772127237546376,0.4891484369155851,10,30,7,32,19,1,9,0
Meta_Feed,PharmEasy_Baby,Video_15s,Problem_Solution,Watch_More,Broad_Women_25_34,Telugu,0,0,0.3187,63.25,07,0.18056934023881988,0.07750987847107563,0.4101014058836743,8,36,18,23,19,1,9,0
Google_Display,BabyChakra,Playable_Ad,Before_After,Watch_More,Pregnant_Tri2,Bengali,0,0,0.416,76.54,07,0.1497878740780297,0.08067557993533911,0.4410660662736186,2,3,7,0,19,21,0,0
Google_Search,Mylo_PregaPlus,Video_30s,Fear_Appeal,Swipe_Up,TTC,Bengali,0,0,0.4127,77.0,07,0.2526048722163783,0.12373184304222382,0.49335101552923133,3,31,19,12,17,29,0,0
Meta_Reels,Mylo_DiapersApp,Static_Image,Problem_Solution,Install_Now,Pregnant_Tri3,Hindi,0,0,0.4007,73.01,07,0.12275682267389272,0.06183157954934692,0.4371430972440249,9,28,12,23,10,22,3,0
Google_Display,Mylo_DiapersApp,Collection_Ad,Before_After,Get_Offer,Broad_Women_25_34,Hinglish,0,0,0.2167,55.71,07,0.179359230059453,0.0853195963917153,0.44761665063360273,2,28,3,0,7,1,4,0
Meta_Feed,Mylo_App,Lead_Form,Ingredient_Science,Get_Offer,TTC,Hindi,0,0,0.26,53.17,07,0.14204016411615425,0.0747374262656863,0.32290641906812656,8,27,6,17,7,29,3,0
Google_UAC,PharmEasy_Baby,Video_30s,Problem_Solution,Learn_More,New_Mom_3_6m,English,0,0,0.4047,75.89,07,0.1540159447474111,0.07794745903446738,0.498653636375595,4,36,19,23,12,16,1,0
Google_Display,BabyChakra,Carousel,Fear_Appeal,Swipe_Up,New_Mom_6_12m,Hinglish,0,0,0.2874,60.06,07,0.12128968541345045,0.0677430882166023,0.5431790793553636,2,3,1,12,17,17,4,0
Meta_Reels,Mylo_DiapersApp,Video_15s,Ingredient_Science,Watch_More,Retargeting_App_Inactive,Tamil,0,0,0.3831,76.16,07,0.18495635774223196,0.08962426307300678,0.2533996187425871,9,28,18,17,19,26,8,0
Google_Search,HealthKart_Women,Collection_Ad,Discount_Offer,Learn_More,New_Mom_0_3m,Hindi,1,0,0.3158,66.32,07,0.08683033571688968,0.042654264872770666,0.4898650529433625,3,10,3,6,12,14,3,0
Google_UAC,Mylo_PregaPlus,Collection_Ad,Problem_Solution,Shop_Now,New_Mom_6_12m,Hindi,0,0,0.2931,62.46,07,0.1678468945225249,0.07649584503858804,0.37142297345496356,4,31,3,23,14,17,3,0
Google_UAC,Healofy,Static_Image,Emotional_Journey,Learn_More,Lookalike_Purchasers,English,0,0,0.2475,58.77,07,0.17064664667229087,0.08950264859451636,0.5863636676363138,4,9,12,10,12,10,1,0
Google_Display,Mylo_Ovaluna,Video_30s,Problem_Solution,Install_Now,Broad_Women_18_24,Telugu,0,0,0.1608,36.24,07,0.18164820559948225,0.07782077863124165,0.5111128059972379,2,30,19,23,10,0,9,0
Meta_Feed,Mylo_Ovaluna,Video_30s,Comparison_Ad,Shop_Now,New_Mom_3_6m,Bengali,0,0,0.4027,73.93,07,0.1612808064464249,0.07496269648385169,0.4664052054727763,8,30,19,4,14,16,0,0
Meta_Stories,PharmEasy_Baby,Video_60s,Discount_Offer,Shop_Now,New_Mom_0_3m,English,1,0,0.38,69.56,07,0.13911565269357734,0.06378418260130067,0.4894871960309905,10,36,20,6,14,14,1,0
Meta_Feed,Mylo_App,Static_Image,Discount_Offer,Swipe_Up,New_Mom_0_3m,Marathi,1,0,0.412,73.27,07,0.11453180904000983,0.05375250622204281,0.2790786025543688,8,27,12,6,17,14,7,0
YouTube_Shorts,Healofy,Reels_Remix,Testimonial_Mom,Install_Now,Pregnant_Tri3,English,0,0,0.3102,72.88,07,0.1250387912446669,0.06436255308089395,0.4107865873503179,13,9,8,29,10,22,1,0
Google_UAC,HealthKart_Women,Reels_Remix,Doctor_Expert,Install_Now,New_Mom_3_6m,Telugu,0,1,0.512,93.95,07,0.1726193145799043,0.10345831816847033,0.4698064770579124,4,10,8,7,10,16,9,0
Meta_Stories,MamEarth,Carousel,Discount_Offer,Learn_More,Broad_Women_18_24,Hinglish,1,0,0.12,20.22,07,0.11324059423948633,0.05600396433887333,0.5383828278008927,10,19,1,6,12,0,4,0
Google_UAC,Mylo_App,Playable_Ad,UGC_Repost,Book_Free_Consult,New_Mom_0_3m,Hindi,0,0,0.387,72.62,07,0.14798890930749337,0.07657766377040216,0.4681045374716405,4,27,7,32,1,14,3,0
Google_UAC,MamEarth,Video_30s,Product_Demo,Shop_Now,Broad_Women_25_34,Hindi,0,0,0.2082,62.5,07,0.18691571786671252,0.11384998587631052,0.5427558566179198,4,19,19,25,14,1,3,0
YouTube_Shorts,MamEarth,Stories_Poll,Testimonial_Mom,Watch_More,Pregnant_Tri2,Kannada,0,0,0.38,79.23,07,0.15851364210351246,0.08273075298826567,0.27641721905963346,13,19,13,29,19,21,5,0
Google_UAC,HealthKart_Women,Reels_Remix,UGC_Repost,Install_Now,Pregnant_Tri1,Bengali,0,0,0.3283,61.46,07,0.13113851427857193,0.06486119000035909,0.4487219553968161,4,10,8,32,10,20,0,0
Google_UAC,MamEarth,Lead_Form,Seasonal_Festival,Watch_More,TTC,Tamil,0,0,0.26,54.29,07,0.1938229536266615,0.06954531776766011,0.5249643033522049,4,19,6,27,19,29,8,0
Meta_Feed,Mylo_Ovaluna,Carousel,Product_Demo,Watch_More,Pregnant_Tri1,Hinglish,0,0,0.2805,60.65,07,0.16522605198318824,0.07143162097062354,0.5579985578563572,8,30,1,25,19,20,4,0
Meta_Feed,Healofy,Video_15s,Discount_Offer,Watch_More,Pregnant_Tri3,Telugu,1,0,0.4244,72.7,07,0.1374838984180061,0.06299393734982284,0.4807968177581857,8,9,18,6,19,22,9,0
Google_Search,Healofy,Video_30s,UGC_Repost,Install_Now,New_Mom_3_6m,Telugu,0,0,0.4124,76.72,07,0.1814329293729549,0.08507581002124943,0.40564762530458354,3,9,19,32,10,16,9,0
Google_UAC,Mylo_App,Carousel,Testimonial_Mom,Watch_More,Pregnant_Tri3,Marathi,0,0,0.4555,79.02,07,0.19162835091730843,0.0845224358957638,0.4206990193275217,4,27,1,29,19,22,7,0
Google_Display,Healofy,Carousel,Doctor_Expert,Swipe_Up,New_Mom_0_3m,Bengali,0,1,0.4,88.15,07,0.24481713759859283,0.14407270483000098,0.4655127075167088,2,9,1,7,17,14,0,0
Meta_Feed,BabyChakra,Static_Image,Before_After,Swipe_Up,Broad_Women_25_34,English,0,0,0.2476,60.25,07,0.1359767979813584,0.06703077693221567,0.5123475989142052,8,3,12,0,17,1,1,0
Google_Search,Mylo_DiapersApp,Video_15s,Fear_Appeal,Swipe_Up,New_Mom_0_3m,Bengali,0,0,0.4243,75.9,07,0.17149882433916408,0.09450416347954368,0.38582601917622716,3,28,18,12,17,14,0,0
Meta_Stories,PharmEasy_Baby,Video_15s,Discount_Offer,Watch_More,Pregnant_Tri2,English,1,0,0.38,70.41,07,0.14787905895848388,0.07273247853381518,0.5213408734170478,10,36,18,6,19,21,1,0
Meta_Reels,Mylo_App,Video_30s,Testimonial_Mom,Get_Offer,Toddler_Mom_1_2y,Telugu,0,0,0.3674,72.87,07,0.1622827988492893,0.08501935540132315,0.43154609724947723,9,27,19,29,7,32,9,0
Google_UAC,Mylo_LactoMama,Stories_Poll,Myth_Busting,Shop_Now,Lookalike_Purchasers,Hinglish,0,0,0.2861,62.43,07,0.14306605942167738,0.07365716518264795,0.5141351478829169,4,29,13,21,14,10,4,0
Google_Display,HealthKart_Women,Static_Image,Ingredient_Science,Swipe_Up,Toddler_Mom_1_2y,Tamil,0,0,0.2736,66.77,07,0.11696923013112896,0.05098713198332775,0.6279705943944257,2,10,12,17,17,32,8,0
Google_Search,Mylo_Ovaluna,Video_15s,Celebrity_Endorsement,Install_Now,Pregnant_Tri1,Hindi,0,0,0.3059,59.85,07,0.15057459161840764,0.06551343348691054,0.47313257025575683,3,30,18,1,10,20,3,0
Google_Search,Mylo_LactoMama,Carousel,Problem_Solution,Watch_More,Toddler_Mom_1_2y,Tamil,0,0,0.3249,63.37,07,0.15941831010961605,0.07375177736952554,0.5246206535724366,3,29,1,23,19,32,8,0
Google_UAC,Mylo_Ovaluna,Lead_Form,Myth_Busting,Get_Offer,Broad_Women_25_34,Hindi,0,0,0.1764,43.18,07,0.1993511149704166,0.09481319114810913,0.5119436359588055,4,30,6,21,7,1,3,0
Google_UAC,PharmEasy_Baby,Video_15s,Problem_Solution,Learn_More,TTC,Tamil,0,0,0.4053,77.28,07,0.18340992565274059,0.08304958815078413,0.5140524437687831,4,36,18,23,12,29,8,0
Google_Display,Mylo_Ovaluna,Static_Image,Problem_Solution,Get_Offer,Lookalike_Purchasers,Tamil,0,0,0.308,67.18,07,0.1511366082475661,0.07587004693897852,0.4742692118381318,2,30,12,23,7,10,8,0
Meta_Feed,HealthKart_Women,Video_15s,Seasonal_Festival,Swipe_Up,TTC,Hinglish,0,0,0.365,72.9,07,0.16019508087812406,0.08767355708746682,0.3505938611798629,8,10,18,27,17,29,4,0
Meta_Reels,Mylo_DiapersApp,Static_Image,Discount_Offer,Learn_More,New_Mom_0_3m,Hindi,1,0,0.38,69.65,07,0.1103463974944769,0.056073763493932116,0.4855161298072245,9,28,12,6,12,14,3,0
Google_UAC,Mylo_PregaPlus,Carousel,Myth_Busting,Swipe_Up,Pregnant_Tri3,Hinglish,0,0,0.38,75.14,07,0.1586751723951185,0.07984834249095484,0.40960754652590914,4,31,1,21,17,22,4,0
Meta_Reels,Mylo_DiapersApp,Reels_Remix,Doctor_Expert,Install_Now,TTC,Kannada,0,1,0.503,93.67,07,0.22284691213498806,0.11206993405935047,0.5233587464013292,9,28,8,7,10,29,5,0
Meta_Reels,Mylo_App,Carousel,Emotional_Journey,Learn_More,TTC,Marathi,0,0,0.4163,77.4,07,0.16643330595571573,0.08168704667771738,0.7008649106483007,9,27,1,10,12,29,7,0
Google_Display,BabyChakra,Reels_Remix,Doctor_Expert,Learn_More,Retargeting_Cart_Abandon,Hinglish,0,1,0.3817,87.92,07,0.2252689406312876,0.1425729476053582,0.5486466322247856,2,3,8,7,12,27,4,0
Meta_Feed,Mylo_LactoMama,Static_Image,Doctor_Expert,Watch_More,Pregnant_Tri2,Kannada,0,1,0.4938,94.03,07,0.2061219721323799,0.12448880725605624,0.44115617263179646,8,29,12,7,19,21,5,0
Google_UAC,Healofy,Stories_Poll,Comparison_Ad,Install_Now,Retargeting_App_Inactive,Hindi,0,0,0.3384,75.41,07,0.1537885744951874,0.08673402960793967,0.4429977802183224,4,9,13,4,10,26,3,0
Google_Display,Mylo_DiapersApp,Collection_Ad,UGC_Repost,Install_Now,Broad_Women_18_24,Telugu,0,0,0.1569,39.92,07,0.14515099102302326,0.08634188823933944,0.6011554400484223,2,28,3,32,10,0,9,0
Google_Display,Mylo_App,Reels_Remix,Discount_Offer,Swipe_Up,Pregnant_Tri3,English,1,0,0.38,70.21,07,0.10515828603350455,0.05874806271302403,0.5465567437455704,2,27,8,6,17,22,1,0
YouTube_Shorts,Mylo_Ovaluna,Carousel,Ingredient_Science,Swipe_Up,Broad_Women_35_44,English,0,0,0.3198,62.52,07,0.17473463237071382,0.08412498533074886,0.4430732626956905,13,30,1,17,17,2,1,0
Google_Search,BabyChakra,Video_30s,Before_After,Get_Offer,New_Mom_3_6m,Kannada,0,0,0.4362,77.5,07,0.16244437028648842,0.0839669281386554,0.4775914348414995,3,3,19,0,7,16,5,0
YouTube_Shorts,HealthKart_Women,Playable_Ad,Before_After,Swipe_Up,Toddler_Mom_1_2y,Telugu,0,0,0.2681,62.65,07,0.13838764105557033,0.056259556390417645,0.5370486307359343,13,10,7,0,17,32,9,0
Meta_Reels,Healofy,Static_Image,UGC_Repost,Book_Free_Consult,Pregnant_Tri1,Marathi,0,0,0.2413,58.51,07,0.14837174011819818,0.08473708000427323,0.6326739826617918,9,9,12,32,1,20,7,0
